METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"North Port-Sarasota-Bradenton, FL",-10226.98,-4089.71,-1803.34,1052.62,7168.40,-2468.27,1673.99,732.35,1943.09,3105.77,3164.75,303353,302516,313575,312497,318658,328943,334535,332581,367539,391898,408101,339300,334393,344522,343771,350475,367953,371456,374034,403316,420949,436852,337663,334081,344144,342844,349373,367028,369857,373332,401757,420443,434563,1637,312,378,927,1102,925,1599,702,1559,506,2289,615986,627999,643013,664945,680424,696364,702615,718640,740814,766455,783783,8490.823837,11761.41915,12463.72479,15023.59035,20905.23784,18256.73988,19304.04015,23670.76652,16937.27263,11481.78283,8782.567374,NA,-4907,10129,-751,6704,17478,3503,2578,14641,17633,15903,NA,-1.47%,2.94%,-0.22%,1.91%,4.75%,0.94%,0.69%,3.63%,4.19%,3.64%,-3.01%,-1.22%,-0.52%,0.31%,2.05%,-0.67%,0.45%,0.20%,0.48%,0.74%,0.72%,228,164,147,113,76,160,147,164,172,170,170,0.520663089,0.516152591,0.493230257,0.50399374,0.527058657,0.518583945,0.48134883,0.500849115,0.51504934,0.527013461,0.572646401,936,958,1007,1056,1111,1171,1267,1284,1362,1609,1854,160100,167700,183300,208100,227500,244400,257600,273500,326200,402600,438600,63519,70295,66047,70435,69768,63077,67225,73628,67955,65782,64629
"Boulder, CO",813.25,1109.95,1172.23,-63.38,-185.55,681.95,787.43,1510.89,661.40,-830.95,396.45,49105,49679,49817,50110,47466,49559,51397,50180,50668,52101,53849,50747,51092,51671,52992,50601,51355,53685,53188,52564,55537,56452,50747,51053,51671,52762,50601,51355,53337,52956,52540,55537,56145,0,39,0,230,0,0,348,232,24,0,307,104476,103998,107336,110793,110914,109655,101164,99989,100762,99987,103096,0,0,509.8815698,79.16649624,548.7188699,0,150.0745979,1693.224046,0,0,0,NA,345,579,1321,-2391,754,2330,-497,-312,2973,915,NA,0.68%,1.12%,2.49%,-4.73%,1.47%,4.34%,-0.93%,-0.59%,5.35%,1.62%,1.60%,2.17%,2.27%,-0.12%,-0.37%,1.33%,1.47%,2.84%,1.26%,-1.50%,0.70%,59,42,51,135,153,96,121,87,144,241,171,0.571649966,0.524045886,0.522101231,0.551701295,0.575164146,0.574884002,0.52758484,0.525622284,0.540998749,0.61530014,0.589773922,1108,1168,1204,1287,1348,1483,1498,1637,1732,1826,1915,364100,349100,383100,416500,467600,504800,554100,592000,654500,743700,763600,2412,2288,2772,1515,3738,3024,2410,2692,2046,2147,2323
"Mansfield, OH",-2270.10,-2435.65,-2758.10,-3132.08,-1568.10,-1512.10,-1218.67,-330.91,-329.33,-1124.50,375.45,48530,47847,47378,46989,48438,48998,48105,49812,49536,50248,51045,54146,54173,53591,53806,53678,54146,53783,53207,53976,54468,54791,53402,52675,52505,52550,52428,52960,53058,52831,53026,54241,53346,744,1498,1086,1256,1250,1186,725,376,950,227,1445,99493,100019,100131,99913,100267,98774,92847,91933,96013,95609,96525,167.0445202,0,0,75.68376874,0,0,1265.792497,188.0846168,651.3066602,339.1429509,118.2889043,NA,27,-582,215,-128,468,-363,-576,384.5,492,323,NA,0.05%,-1.09%,0.40%,-0.24%,0.86%,-0.67%,-1.08%,0.71%,0.90%,0.59%,-4.19%,-4.50%,-5.15%,-5.82%,-2.92%,-2.79%,-2.27%,-0.62%,-0.61%,-2.06%,0.69%,259,268,276,282,238,230,234,191,209,249,172,0.457966764,0.428320692,0.462744038,0.384957515,0.429684092,0.403132104,0.404175756,0.347302446,0.46273431,0.403612118,0.401092393,616,567,625,640,688,596,656,705,718,774,808,96800,101400,100400,102600,104100,107900,114600,118600,148000,151000,176800,NA,NA,NA,NA,362,49,530,762,605,NA,NA
"Davenport-Moline-Rock Island, IA-IL",-166.67,-3339.06,-2456.75,-1265.36,-2932.05,-3131.20,-1365.96,-2610.89,-2719.34,111.87,957.80,128620,127125,127206,128835,126733,124688,127914,129153,132314,135899,137636,138108,137568,138363,138498,138548,138255,139901,140127,143609,144452,144755,135665,137390,137105,136616,136280,136344,138433,139652,142285,143853,143560,2443,178,1258,1882,2268,1911,1468,475,1324,599,1195,255876,255513,257084,256208,254973,257399,246676,246089,249249,248878,247326,426.0260783,542.5618707,1030.431226,70.37101443,265.0520715,2181.336901,2626.041901,1362.342746,605.6797973,1210.400611,0,NA,-540,795,135,50,-293,1646,226,1741,843,303,NA,-0.39%,0.57%,0.10%,0.04%,-0.21%,1.18%,0.16%,1.21%,0.58%,0.21%,-0.12%,-2.43%,-1.78%,-0.91%,-2.12%,-2.26%,-0.98%,-1.86%,-1.89%,0.08%,0.66%,103,213,191,167,214,212,190,221,251,195,173,0.42956725,0.415288645,0.402059197,0.401287554,0.434750454,0.425757855,0.399548978,0.391874555,0.411147482,0.425758888,0.412018141,668,667,685,712,719,743,777,743,826,862,919,125000,126200,126800,128900,132100,134500,138500,141400,152000,160700,177100,851,994,545,971,1216,1567,1173,1740,1364,1133,1333
"Cleveland-Elyria, OH",-10665.87,-7356.02,-14557.34,-10681.41,-17176.21,-12674.70,496.98,-4014.76,11789.61,-173.62,6194.80,839837,844428,848494,849473,851879,862588,866038,872628,890036,930329,931314,948707,948081,951069,951785,955078,957613,957581,957629,963614,1011739,1011843,917878,916030,924094,927530,927332,936329,934058,941733,947849,997816,995260,30829,32051,26975,24255,27746,21284,23523,15896,15765,13923,16583,1685330,1693315,1693235,1697864,1695401,1704797,1659579,1654258,1679109,1753454,1752979,24174.55085,20975.79254,17731.39442,23716.13496,14936.03673,17082.76657,24014.36417,20436.98967,23905.53204,19806.59553,22452.4759,NA,-626,2988,716,3293,2535,-32,48,2992.5,48125,104,NA,-0.07%,0.31%,0.08%,0.34%,0.26%,0.00%,0.01%,0.31%,4.76%,0.01%,-1.12%,-0.78%,-1.53%,-1.12%,-1.80%,-1.32%,0.05%,-0.42%,1.22%,-0.02%,0.61%,152,150,185,180,204,180,158,182,146,199,174,0.477263317,0.468916333,0.471502642,0.443455888,0.443023348,0.452637343,0.433785362,0.428880938,0.427146498,0.465163178,NA,720,734,752,746,776,789,804,813,887,970,NA,139400,136100,137800,143100,146100,150400,158000,161400,184500,209000,NA,6105,5339,5393,5542,4751,4102,5735,6290,6718,2484,NA
"Odessa, TX",992.50,852.10,867.79,-386.01,-1619.15,-1277.93,2209.40,-334.11,354.45,-1057.10,426.85,49382,51962,50724,52023,51012,51388,54326,53155,64169,63738,66937,53741,55034,55970,56976,57485,57896,58630,59599,67660,68969,70044,51622,53708,54377,55392,56352,56456,57363,58296,67023,67982,69857,2119,1326,1593,1584,1133,1440,1267,1303,637,987,187,110216,111822,114668,119196,117478,118015,119740,121751,117589,118696,120452,727.0479686,0,1890.083452,363.6585099,1114.52277,1162.547108,2409.620189,2046.801984,0,0,0,NA,1293,936,1006,509,411,734,969,4030.5,1309,1075,NA,2.35%,1.67%,1.77%,0.89%,0.71%,1.25%,1.63%,5.96%,1.90%,1.53%,1.85%,1.55%,1.55%,-0.68%,-2.82%,-2.21%,3.77%,-0.56%,0.52%,-1.53%,0.61%,54,60,66,158,235,209,63,188,170,243,175,0.321732304,0.32792261,0.364379779,0.307418106,0.410130358,0.371033495,0.338634823,0.374214296,0.432077626,0.465636116,0.448581935,800,925,1049,1045,897,944,1028,1141,1069,1115,1169,95500,91600,123700,126100,126700,149500,148000,164100,176500,184000,196500,NA,NA,518,NA,NA,230,NA,0,NA,NA,NA
"Cape Coral-Fort Myers, FL",-17779.98,-10332.97,-5775.61,8877.26,11516.69,6943.74,8782.47,8824.74,7153.97,5832.63,2185.91,245100,241240,263295,263693,261737,266267,281222,286887,320465,339266,326338,286882,280855,291635,288972,286994,298523,310756,316021,343388,367976,372313,286140,278956,291257,287748,286176,297970,310372,315139,342033,366796,365192,742,1899,378,1224,818,553,384,882,1355,1180,7121,543174,557313,574435,594674,614962,630487,635740,648909,666544,695472,704878,10480.97007,14591.45376,8592.036302,18807.2506,21779.84548,24127.03991,22734.63474,21649.89554,12094.01569,15618.40796,23545.72428,NA,-6027,10780,-2663,-1978,11529,12233,5265,13683.5,24588,4337,NA,-2.15%,3.70%,-0.92%,-0.69%,3.86%,3.94%,1.67%,3.98%,6.68%,1.16%,-6.20%,-3.68%,-1.98%,3.07%,4.01%,2.33%,2.83%,2.79%,2.08%,1.59%,0.59%,282,252,202,46,42,76,85,91,123,142,176,0.496109547,0.494320328,0.481433705,0.478649491,0.496636814,0.457236063,0.518711536,0.52513092,0.526679214,0.559228182,0.630208462,905,937,940,1003,1080,1116,1190,1220,1326,1620,1797,137600,154800,163400,184200,210900,225300,235000,244700,286000,361400,391700,84829,91648,84258,90474,97709,94727,88732,92767,85543,74297,79537
"Clarksville, TN-KY",-3932.73,-5348.13,-7779.70,-2982.37,-6686.35,-2998.05,-3392.71,-684.93,609.55,1712.44,563.16,69513,71914,70506,75155,74493,78839,77686,82972,89351,89177,91893,79287,81776,82821,83497,85441,86492,87024,91147,95740,93707,96996,77748,81267,81811,83373,84904,85779,86276,90319,93826,93146,96613,1539,509,1010,124,537,713,748,828,1914,561,383,151518,151009,154756,158359,163560,167194,166025,169615,182498,176864,181007,787.2593564,389.6822511,0,1407.50918,0,0,1250.466991,2393.782555,587.6166483,1164.369783,655.7265589,NA,2489,1045,676,1944,1051,532,4123,2296.5,-2033,3289,NA,3.04%,1.26%,0.81%,2.28%,1.22%,0.61%,4.52%,2.40%,-2.17%,3.39%,-4.96%,-6.54%,-9.39%,-3.57%,-7.83%,-3.47%,-3.90%,-0.75%,0.64%,1.83%,0.58%,270,291,301,249,298,248,265,196,167,130,177,0.463341963,0.398246648,0.464504052,0.431774055,0.428052411,0.434848485,0.464971435,0.396346993,0.432334882,0.425707392,0.421657033,798,847,816,874,875,907,927,902,1017,1153,1271,134100,139900,137100,140600,147600,159800,168600,162500,210100,251800,275900,2630,1644,811,1909,1488,1813,2316,2041,1365,1121,932
"Duluth, MN-WI",-460.73,-1096.80,-835.10,-120.71,647.86,395.20,-645.05,313.75,-527.20,137.80,276.00,40378,41164,42418,41269,41783,40884,42119,42655,42756,44736,45380,43371,44786,45706,43810,43816,42677,45002,44840,45630,46996,47937,43371,44319,45374,43688,43484,42533,44870,44474,45421,46835,47373,0,467,332,122,332,144,132,366,209,161,564,84368,84458,86443,85508,86524,85318,78987,77332,77882,83204,85427,488.9236443,0,0,223.6586926,247.3464386,0,0,0,0,0,0,NA,1415,920,-1896,6,-1139,2325,-162,395,1366,941,NA,3.16%,2.01%,-4.33%,0.01%,-2.67%,5.17%,-0.36%,0.87%,2.91%,1.96%,-1.06%,-2.45%,-1.83%,-0.28%,1.48%,0.93%,-1.43%,0.70%,-1.16%,0.29%,0.58%,150,215,193,142,91,107,204,148,230,189,178,0.503306994,0.488163903,0.488467127,0.412606831,0.443646057,0.465355153,0.431116492,0.438830972,0.462766774,0.518859992,0.489473684,671,657,724,686,735,753,763,768,873,929,993,137100,138800,140100,147300,156200,158000,161200,167200,191900,215800,232800,15448,16143,15362,17331,17444,17335,18117,19118,16122,16743,12930
"Ann Arbor, MI",637.45,-244.15,-12.80,-1435.67,521.55,2160.27,5507.56,2335.65,1181.97,2663.64,893.69,137565,137728,137240,138097,140081,140729,143072,141680,149132,150945,149379,146144,146233,146733,148119,148337,147641,149991,150400,156716,157555,158279,146144,145719,145431,147287,147701,147244,148804,149751,156535,157237,158015,0,514,1302,832,636,397,1187,649,181,318,264,291907,295772,299808,300880,306955,311210,294930,289953,291176,293508,293156,2226.857428,819.4788936,1253.52375,809.0298698,1083.335852,1560.779645,3891.38674,3164.432979,1074.635989,1341.319371,1962.609589,NA,89,500,1386,218,-696,2350,409,3158,839,724,NA,0.06%,0.34%,0.94%,0.15%,-0.47%,1.57%,0.27%,2.02%,0.53%,0.46%,0.44%,-0.17%,-0.01%,-0.97%,0.35%,1.46%,3.67%,1.55%,0.75%,1.69%,0.56%,86,127,123,169,127,92,64,127,166,138,179,0.538713023,0.497129161,0.486095865,0.452021663,0.487416871,0.452875058,0.492003797,0.476311432,0.525126056,0.489168318,0.532759608,921,930,981,978,997,1062,1116,1139,1225,1328,1451,191000,207500,212400,234200,244700,258700,280500,295300,333000,364600,360400,1449,2059,1604,1724,1438,2515,1771,1853,1056,1547,2004
"St. Louis, MO-IL",-885.57,-6528.17,-1123.71,1209.74,400.63,-3141.55,1346.82,4501.87,10177.39,3505.63,6637.40,1005696,1013487,1006322,1015517,1019471,1025228,1042420,1048553,1049328,1091800,1103579,1113492,1119390,1121587,1125774,1133817,1143507,1146185,1152234,1150673,1181581,1189983,1091461,1099573,1093140,1098294,1103007,1113132,1125709,1133709,1126684,1165081,1176496,22031,19817,28447,27480,30810,30375,20476,18525,23989,16500,13487,2057216,2066536,2075210,2086324,2083179,2088424,2037012,2042061,2049015,2083575,2090762,32947.26602,27508.0742,33693.51556,31629.41921,31393.4086,31905.76471,30966.49511,35457.35631,33397.13395,21139.6457,23214.70984,NA,5898,2197,4187,8043,9690,2678,6049,-780.5,30908,8402,NA,0.53%,0.20%,0.37%,0.71%,0.85%,0.23%,0.52%,-0.07%,2.62%,0.71%,-0.08%,-0.58%,-0.10%,0.11%,0.04%,-0.27%,0.12%,0.39%,0.88%,0.30%,0.56%,101,140,131,123,138,145,156,158,162,187,180,0.475879378,0.442197864,0.450772282,0.447631295,0.428877442,0.45966748,0.433151425,0.406953817,0.418993277,0.435971816,0.43516101,767,814,817,839,861,868,891,883,940,1036,1102,155200,153000,156100,164200,169200,172200,180700,184600,215700,237700,247900,13097,8089,13476,11628,9707,11384,11150,9713,10280,9358,7648
"Springfield, MA",-953.01,1258.06,157.52,1172.63,448.11,1048.83,3664.41,5047.26,5781.17,4968.41,1356.10,263453,265938,264932,263824,267656,268020,267972,270899,275787,277760,278930,283142,282648,283414,283447,284681,286779,287715,288723,293056,295609,297059,282120,280630,281244,280471,283623,284563,285275,285843,288593,293442,295097,1022,2018,2170,2976,1058,2216,2440,2880,4463,2167,1962,578834,581285,584953,586697,587907,590741,551977,549386,547197,554176,554686,4325.08606,2526.822243,3069.445437,4408.024579,2887.917455,3991.266544,7208.389022,6139.341175,4569.356644,6440.386778,3406.286431,NA,-494,766,33,1234,2098,936,1008,2166.5,2553,1450,NA,-0.17%,0.27%,0.01%,0.43%,0.73%,0.33%,0.35%,0.74%,0.86%,0.49%,-0.34%,0.45%,0.06%,0.41%,0.16%,0.37%,1.27%,1.75%,1.97%,1.68%,0.46%,115,98,121,109,136,123,125,121,126,140,181,0.505650315,0.529651932,0.518943633,0.542260512,0.520487366,0.507940922,0.483755065,0.505437825,0.473510804,0.532662665,0.508036599,798,850,869,906,871,913,929,952,1052,1078,1136,210500,210900,214300,217200,219800,229100,237600,241600,277600,302600,302100,5040,3305,3456,3708,3220,2841,2985,3524,5186,2951,900
"Urban Honolulu, HI",3859.24,6618.88,5965.55,9610.90,12618.43,10903.95,7124.29,6452.59,10176.15,8252.29,1596.73,308073,308798,309004,307700,309168,312626,308209,316455,338094,338438,338498,327997,329481,329336,329808,328889,334524,334935,341470,360904,361262,365277,326199,328971,328132,326817,326658,332487,333281,339252,359690,359157,363567,1798,510,1204,2991,2231,2037,1654,2218,1214,2105,1710,798305,803540,810669,813841,813934,810822,768575,765351,787001,788383,786914,6268.17952,10811.40585,9184.146673,12707.5242,13952.40818,14413.00229,15986.51101,12787.46385,14159.47169,11475.61171,9276.980798,NA,1484,-145,472,-919,5635,411,6535,9717,358,4015,NA,0.45%,-0.04%,0.14%,-0.28%,1.68%,0.12%,1.91%,2.69%,0.10%,1.10%,1.18%,2.01%,1.81%,2.91%,3.84%,3.26%,2.13%,1.89%,2.82%,2.28%,0.44%,69,48,57,48,44,55,103,119,98,115,182,NA,0.533012889,0.551174056,0.553595041,0.544515501,0.551687717,0.510714468,0.519537214,0.548342772,0.563515721,0.532387669,NA,1535,1602,1638,1621,1712,1726,1774,1884,1914,2033,NA,573800,590600,629900,658900,680200,701200,739700,781600,874500,899300,NA,10673,12795,14595,18293,16392,17268,13679,11121,12521,10883
"Athens-Clarke County, GA",-5970.73,-2409.90,-3396.53,-2323.67,-1672.85,-1734.15,407.99,1310.20,1867.60,-614.85,222.25,40788,44542,44016,46556,47563,48257,49698,52124,55332,53503,55505,49773,50138,51278,51830,51787,52472,52769,53490,56535,57160,59436,49096,49179,50321,51319,51614,52404,52495,53420,56231,56793,58058,677,959,957,511,173,68,274,70,304,367,1378,101429,102549,102732,104443,105872,109122,97597,95723,97421,101600,101207,283.6870465,0,673.9684945,106.2153132,0,0,685.7976259,0,0,0,0,NA,365,1140,552,-43,685,297,721,1522.5,625,2276,NA,0.73%,2.22%,1.07%,-0.08%,1.31%,0.56%,1.35%,2.69%,1.09%,3.83%,-12.00%,-4.81%,-6.62%,-4.48%,-3.23%,-3.30%,0.77%,2.45%,3.30%,-1.08%,0.37%,307,273,293,269,246,245,138,100,89,233,183,0.440740241,0.538081704,0.508053884,0.524551133,0.476758107,0.48619389,0.482604203,0.508055236,0.522667282,0.55379323,0.501504462,771,746,815,799,764,844,840,847,1040,1054,1270,159500,154500,153200,158600,172300,181600,200500,204300,259900,308400,328000,1720,1588,777,553,1230,1546,493,612,NA,1258,1023
"Canton-Massillon, OH",-117.03,-690.26,-3461.23,-1142.58,-1728.62,-1824.44,-2075.30,922.52,1389.89,1328.12,643.13,161762,160168,159603,162867,163204,165473,163626,165718,168333,166457,168115,177006,176958,178215,177697,178291,179878,179956,179504,179142,179887,180169,173147,173092,174084,175291,176078,177491,177571,176800,177363,177891,178157,3859,3866,4131,2406,2213,2387,2385,2704,1779,1996,2012,329921,331498,332572,331051,330690,329244,318951,318982,321977,322048,323365,3028.447749,4024.133856,2894.874771,2988.637766,2843.029254,1828.489266,3512.762321,3541.542148,1907.846275,4227.87224,2170.840612,NA,-48,1257,-518,594,1587,78,-452,-181,745,282,NA,-0.03%,0.71%,-0.29%,0.33%,0.88%,0.04%,-0.25%,-0.10%,0.41%,0.16%,-0.07%,-0.39%,-1.94%,-0.64%,-0.97%,-1.01%,-1.15%,0.51%,0.78%,0.74%,0.36%,100,133,200,156,177,169,197,151,165,169,184,0.39542221,0.450158456,0.397964818,0.418660429,0.386398046,0.387177337,0.400104088,0.364289053,0.423979522,0.36455317,0.367783479,654,655,683,687,708,723,715,728,780,842,887,118300,119800,123600,126400,128500,132600,137300,144000,162400,170400,189000,1422,1892,1233,1609,1259,683,978,1449,1691,1228,1885
"Prescott Valley-Prescott, AZ",-3806.64,-4211.94,-1255.23,-481.36,796.29,-356.22,6544.59,3065.59,5470.33,3348.80,426.68,93698,91064,90585,94920,94962,98369,100836,102785,112075,110928,113783,102316,100745,99962,102585,102906,105764,106172,109289,115637,117409,120843,102269,100527,98739,101170,102420,105004,105252,109164,115187,116585,120213,47,218,1223,1415,486,760,920,125,450,824,630,181714,184599,187537,190524,194678,197964,196030,199980,207467,212172,214621,75.6718103,664.6253028,2256.688477,973.944852,3339.224437,1295.555026,5636.940946,4100.322295,2836.74376,3294.666305,1111.935459,NA,-1571,-783,2623,321,2858,408,3117,3174,1772,3434,NA,-1.56%,-0.78%,2.56%,0.31%,2.70%,0.38%,2.85%,2.74%,1.51%,2.84%,-3.72%,-4.18%,-1.26%,-0.47%,0.77%,-0.34%,6.16%,2.81%,4.73%,2.85%,0.35%,246,264,169,150,111,147,23,89,47,93,185,NA,NA,NA,NA,NA,NA,NA,0.42830101,0.456059002,0.492148715,0.475237053,NA,NA,NA,NA,NA,NA,NA,1005,1101,1166,1442,NA,NA,NA,NA,NA,NA,NA,288500,361900,434700,454200,NA,NA,NA,NA,NA,NA,NA,NA,8091,9180,7860
"Columbia, MO",-267.97,211.85,478.22,-69.35,-2539.80,-2869.25,-2628.20,-4825.95,-1151.28,262.85,201.80,66360,67679,67198,69153,68848,70355,72216,70721,75036,57557,59016,70272,71407,70804,73340,75369,77061,78494,79353,80880,60546,62662,70272,71407,70442,72680,75369,76742,78455,79083,80195,60172,61765,0,0,362,660,0,319,39,270,685,374,897,139532,141717,143374,145583,146365,147886,140479,140781,144111,108042,110571,310.5095164,529.4307271,345.0678212,0,513.1416465,0,0,0,243.7307905,0,0,NA,1135,-603,2536,2029,1692,1433,859,763.5,-20334,2116,NA,1.59%,-0.85%,3.46%,2.69%,2.20%,1.83%,1.08%,0.94%,-33.58%,3.38%,-0.38%,0.30%,0.68%,-0.09%,-3.37%,-3.72%,-3.35%,-6.08%,-1.42%,0.43%,0.32%,116,107,99,134,248,250,254,287,237,181,186,0.554920023,0.491152257,0.487659688,0.469349035,0.440330459,0.508076836,0.472286828,0.501441103,0.478282164,0.445609742,0.456072531,774,781,802,769,813,869,878,910,939,942,1084,155700,172900,170700,181000,178500,181900,192200,192700,217900,250700,259100,421,832,2227,1049,NA,NA,NA,NA,236,347,NA
"Tuscaloosa, AL",-1128.11,194.34,865.99,592.01,5712.33,-894.66,1576.91,141.08,370.98,-989.05,271.35,75206,76020,75038,78292,81096,78948,81138,82125,93957,89075,93967,84389,84686,84137,87446,87405,88752,89461,92255,103514,96272,102303,83826,84526,83016,86808,86343,87783,88532,91459,102531,95999,100923,563,160,1121,638,1062,969,929,796,983,273,1380,178246,178305,181787,184717,186786,188240,177725,178789,191190,180639,182166,3553.893716,4666.041579,4849.613967,4946.107022,6575.740064,3802.79992,4680.007196,5113.171558,4044.889197,1410.667679,2408.567502,NA,297,-549,3309,-41,1347,709,2794,5629.5,-7242,6031,NA,0.35%,-0.65%,3.78%,-0.05%,1.52%,0.79%,3.03%,5.44%,-7.52%,5.90%,-1.34%,0.23%,1.03%,0.68%,6.54%,-1.01%,1.76%,0.15%,0.36%,-1.03%,0.27%,158,112,86,101,13,168,113,165,180,228,187,0.483033858,0.455343314,0.473026729,0.459676354,0.475798568,0.405189891,0.437777423,0.518668175,0.464922125,0.451960031,0.458674899,670,722,789,778,775,825,831,858,891,929,958,150200,139200,145100,156400,161000,158500,163800,165400,195400,237300,229900,11388,10856,13584,11258,12414,13028,13693,12962,10157,10731,4276
